 (Brand),Total cooments,positive (%),Negative  (%),Neutral  (%)
Stirling,89,86.5,3.4,10.1
Proraso,86,87.2,4.7,8.1
Barrister and mann(B&M),73,84.93150685,8.219178082,6.849315068
Arko,39,76.9,7.7,15.4
Noble otter,34,94.1,5.9,0
Tabac,34,85.3,2.9,11.8
Mammoth,23,87,8.7,4.3
Zingari,20,85,0,15
Tobs,17,82.4,11.8,5.9
Cremo,17,82.4,17.6,0
Saponificio varesino,17,58.8,5.9,35.3
Declaration grooming,15,73.3,6.7,20
Palmolive,14,78.6,0,21.4
Southern witchcrafts,14,85.7,0,14.3
A&e,13,69.2,23.1,7.7
Catie,10,80,0,20
Chiseled face,9,88.9,11.1,0
Taylor of old bond street,7,85.7,0,14.3
Mitchell,7,85.7,14.3,0
Seaforth,6,83.3,0,16.7
Geo f trumper,3,100,0,0
Truefitt,2,100,0,0
